Date,BL_baseline,BL_worldmodel,BL_llm_memory,Equal_weight
2025-01-02,0.005840004852182085,0.005840004852182085,0.005840004852182085,0.005840004852182085
2025-01-03,-0.003493402140330007,-0.003503272165113075,-0.0062312249638238545,-0.003266052672491415
2025-01-06,1.730213227831793e-06,0.00022770623521697496,0.0017637279081000926,-0.00013028584298452328
2025-01-07,0.00772344001486902,0.007817229921961544,0.007674740110708528,0.007736747411747236
2025-01-08,-0.003993180758519532,-0.004202121250759515,-0.003428156683717587,-0.004041450570262506
2025-01-09,0.0005458593291321862,0.0006635042987365687,-0.0013093653172901243,0.0007476201177933905
2025-01-10,0.009160646393954072,0.008805089305070846,0.0032253526599619335,0.009624975061981955
2025-01-13,0.0005933341344123546,0.000705435608131101,-0.0034925678601903185,0.0009055736086983901
2025-01-14,-0.0025269248012758493,-0.002380896144322352,0.00016618200724008913,-0.002723470287416818
2025-01-15,0.01169712757844069,0.011643956483708608,0.007368495745594773,0.012068090441885643
2025-01-16,-0.000704692308167866,-0.001204643857908078,0.00016127810598336504,-0.0007918721379870375
2025-01-17,-0.0025866672296025583,-0.0023730569618798853,-0.0008323483756738883,-0.002702388729874383
2025-01-21,-0.0001868798874321096,0.0006030472276659909,0.006029870003221633,-0.0006021256144579379
2025-01-22,-0.0005973613979616254,-0.0008501234663871492,-0.0005821855657272797,-0.000611079092747796
2025-01-23,-0.003330695843126193,-0.003026200199738933,-0.0013805194385730468,-0.003451848469865404
2025-01-24,0.0023455116026061163,0.002025330372794127,0.0017557550173970225,0.0023655270384798643
2025-01-27,-0.0048098705211880675,-0.004358118068284753,-2.530441455028345e-05,-0.005200462258054317
2025-01-28,0.0040321726395249665,0.003436666461760928,0.0013369127707820961,0.0042128156015322216
2025-01-29,-0.0043234385125722015,-0.0042728960569244166,-0.0025116346549263298,-0.004452125620446501
2025-01-30,0.0052859837348755295,0.004632322424408957,0.0033071848162767956,0.005427357270189476
2025-01-31,-0.0029103100712336615,-0.0028941070475118572,-0.0028315530655861907,-0.0029181958039402045
2025-02-03,-0.002527967415800918,-0.0024034097635711616,-0.001039207501212723,-0.0021757138219226646
2025-02-04,0.005081182737190515,0.005092654008507582,0.003980447796943734,0.004924832942028307
2025-02-05,-0.001849092419881221,-0.001877386675784316,-0.004272264316867821,-0.0021071052943545665
2025-02-06,-0.00150793759724464,-0.0015479527460874882,-0.0020482370425343437,-0.0016414142051011105
2025-02-07,0.0005615555644767244,0.0005546476465975824,0.0009285726222747822,0.0006756693126351854
2025-02-10,0.005649631341470418,0.005779425835305319,0.007319389606702675,0.006038736095150932
2025-02-11,0.0022794530949894806,0.0022840825322823837,0.003508252389351254,0.0024335603356165636
2025-02-12,-0.003196041745646465,-0.003244505074195566,-0.005790570364504778,-0.003570445940209638
2025-02-13,0.001815071427411438,0.0017994083827825478,0.0013471685788163411,0.0018055932657089768
2025-02-14,-0.001322285330334279,-0.0013853983817107337,-0.0019475419827323275,-0.0016019710672499632
2025-02-18,0.009591142438496058,0.009670118111908276,0.010419804222093957,0.0098053487976702
2025-02-19,-0.0005212606214369346,-0.0004820673334555768,0.0003680249310251656,-0.000446266226877573
2025-02-20,0.0012619954611745477,0.0012945293137874073,0.001595944112767889,0.0013931466449719487
