Date,EURUSD_Open,EURUSD_High,EURUSD_Low,EURUSD_Close,EURUSD_Volume,GBPUSD_Open,GBPUSD_High,GBPUSD_Low,GBPUSD_Close,GBPUSD_Volume,GOLD_Open,GOLD_High,GOLD_Low,GOLD_Close,GOLD_Volume,OIL_Open,OIL_High,OIL_Low,OIL_Close,OIL_Volume
2018-01-01,1.200494647026062,1.2015043497085571,1.199903964996338,1.200494647026062,0.0,1.351607084274292,1.351607084274292,1.348199486732483,1.351607084274292,0.0,,,,,,,,,,
2018-01-02,1.2010858058929443,1.2080942392349243,1.200855016708374,1.2011579275131226,0.0,1.35111403465271,1.3596748113632202,1.3509314060211182,1.3511322736740112,0.0,1302.300048828125,1317.5999755859375,1302.300048828125,1313.699951171875,68.0,60.20000076293945,60.7400016784668,60.099998474121094,60.369998931884766,510313.0
2018-01-03,1.2061998844146729,1.2067092657089233,1.200494647026062,1.2063454389572144,0.0,1.3594529628753662,1.3614704608917236,1.3498737812042236,1.359619379043579,0.0,1320.0,1320.0999755859375,1312.0999755859375,1316.199951171875,42.0,60.38999938964844,61.970001220703125,60.279998779296875,61.630001068115234,673859.0
2018-01-04,1.2011290788650513,1.209189772605896,1.200494647026062,1.2010425329208374,0.0,1.3511687517166138,1.3561160564422607,1.3506578207015991,1.3511322736740112,0.0,1319.4000244140625,1322.0,1319.4000244140625,1319.4000244140625,2.0,61.959999084472656,62.209999084472656,61.59000015258789,62.0099983215332,654363.0
2018-01-05,1.2066218852996826,1.2084592580795288,1.202154278755188,1.2068840265274048,0.0,1.355380892753601,1.3580313920974731,1.3526674509048462,1.3552889823913574,0.0,1320.300048828125,1320.300048828125,1320.300048828125,1320.300048828125,1.0,61.900001525878906,62.040000915527344,61.09000015258789,61.439998626708984,563036.0
2018-01-08,1.203948974609375,1.2054002285003662,1.195971965789795,1.2037460803985596,0.0,1.3575520515441895,1.3585480451583862,1.3525760173797607,1.3575890064239502,0.0,1319.9000244140625,1319.9000244140625,1314.5999755859375,1318.5999755859375,41.0,61.61000061035156,61.970001220703125,61.34000015258789,61.72999954223633,616474.0
2018-01-09,1.1969597339630127,1.1975760459899902,1.1917957067489624,1.1970456838607788,0.0,1.3570178747177124,1.3585110902786255,1.3509862422943115,1.3571282625198364,0.0,1309.5999755859375,1311.699951171875,1309.5999755859375,1311.699951171875,16.0,61.91999816894531,63.47999954223633,61.79999923706055,62.959999084472656,844720.0
2018-01-10,1.1929330825805664,1.2016342878341675,1.1924494504928589,1.1929330825805664,0.0,1.353179931640625,1.356024146080017,1.3485267162322998,1.353234887123108,0.0,1320.300048828125,1320.699951171875,1315.300048828125,1317.4000244140625,70.0,63.40999984741211,63.66999816894531,63.09000015258789,63.56999969482422,697844.0
2018-01-11,1.1954858303070068,1.2059234380722046,1.1931180953979492,1.1956144571304321,0.0,1.3512965440750122,1.3555278778076172,1.3459312915802002,1.351278305053711,0.0,1317.0999755859375,1320.5999755859375,1316.300048828125,1320.5999755859375,9.0,63.5,64.7699966430664,63.43000030517578,63.79999923706055,876642.0
2018-01-12,1.2042099237442017,1.2156133651733398,1.2041373252868652,1.2042099237442017,0.0,1.354169487953186,1.3694878816604614,1.3540045022964478,1.3541878461837769,0.0,1327.800048828125,1338.199951171875,1327.800048828125,1333.4000244140625,14.0,63.56999969482422,64.5,63.060001373291016,64.30000305175781,678727.0
2018-01-15,1.2193039655685425,1.2299003601074219,1.2188136577606201,1.2192296981811523,0.0,1.3731547594070435,1.3819599151611328,1.3731547594070435,1.3733056783676147,0.0,,,,,,,,,,
2018-01-16,1.2269939184188843,1.2281240224838257,1.2196757793426514,1.2268433570861816,0.0,1.3793864250183105,1.380643367767334,1.3742681741714478,1.379824161529541,0.0,1331.0999755859375,1335.4000244140625,1331.0,1335.4000244140625,13.0,64.43000030517578,64.88999938964844,63.38999938964844,63.72999954223633,867771.0
2018-01-17,1.227144479751587,1.2321492433547974,1.2199138402938843,1.227129340171814,0.0,1.3796910047531128,1.384466290473938,1.3758565187454224,1.3798813819885254,0.0,1334.4000244140625,1338.0,1326.800048828125,1338.0,27.0,63.88999938964844,64.16999816894531,63.310001373291016,63.970001220703125,444384.0
2018-01-18,1.218145489692688,1.2262566089630127,1.2175078392028809,1.218397855758667,0.0,1.382590413093567,1.3910139799118042,1.380662441253662,1.382800817489624,0.0,1328.9000244140625,1328.9000244140625,1326.0,1326.0,211.0,64.06999969482422,64.3499984741211,63.470001220703125,63.95000076293945,204504.0
2018-01-19,1.223585844039917,1.2294830083847046,1.222030758857727,1.2236607074737549,0.0,1.3893712759017944,1.3947001695632935,1.3843704462051392,1.3894678354263306,0.0,1330.0999755859375,1333.0,1330.0999755859375,1331.9000244140625,50.0,63.7400016784668,63.77000045776367,62.849998474121094,63.369998931884766,142711.0
2018-01-22,1.2255953550338745,1.2266627550125122,1.2214635610580444,1.2255502939224243,0.0,1.388946771621704,1.396921157836914,1.385809302330017,1.3891589641571045,0.0,1328.4000244140625,1330.9000244140625,1328.4000244140625,1330.9000244140625,162.0,63.61000061035156,64.13999938964844,63.16999816894531,63.4900016784668,625662.0
2018-01-23,1.225730538368225,1.2306995391845703,1.2223594188690186,1.2256253957748413,0.0,1.3984841108322144,1.4029179811477661,1.391788363456726,1.3984841108322144,0.0,1335.800048828125,1335.9000244140625,1335.699951171875,1335.699951171875,47.0,63.880001068115234,64.87999725341797,63.70000076293945,64.47000122070312,662456.0
2018-01-24,1.2309662103652954,1.240199327468872,1.2295132875442505,1.2310267686843872,0.0,1.4012471437454224,1.4239740371704102,1.4001679420471191,1.401738166809082,0.0,1355.9000244140625,1357.199951171875,1355.9000244140625,1355.9000244140625,18.0,64.41999816894531,66.05000305175781,64.33999633789062,65.61000061035156,887018.0
2018-01-25,1.23960280418396,1.2529915571212769,1.2386507987976074,1.239111304283142,0.0,1.42237389087677,1.4339590072631836,1.421666145324707,1.4220906496047974,0.0,1356.300048828125,1362.4000244140625,1346.699951171875,1362.4000244140625,4.0,65.87999725341797,66.66000366210938,65.08000183105469,65.51000213623047,771758.0
2018-01-26,1.239234209060669,1.2490164041519165,1.2387429475784302,1.239234209060669,0.0,1.4150274991989136,1.428122639656067,1.4147073030471802,1.4150274991989136,0.0,1351.5999755859375,1352.0,1350.9000244140625,1351.5999755859375,280546.0,65.25,66.3499984741211,64.91000366210938,66.13999938964844,678186.0
2018-01-29,1.2428226470947266,1.243193507194519,1.2338062524795532,1.2428072690963745,0.0,1.4149274826049805,1.4158289432525635,1.4027212858200073,1.4149274826049805,0.0,,,,,,66.18000030517578,66.45999908447266,64.9800033569336,65.55999755859375,656168.0
