Date,EURUSD,GBPUSD,GOLD,OIL
2025-01-02,0.49984470628948324,0.12792779778337568,0.3722274959271411,0.0
2025-01-31,0.0348042923012398,0.34051141102483784,0.4223067291609155,0.20237756751300687
2025-02-28,0.18970140228393162,0.009488529615039435,0.6677727928550686,0.13303727524596018
2025-03-31,0.0,0.19358336617493643,0.6704307849619472,0.13598584886311635
2025-04-30,0.3906783212879005,0.0,0.6093216787120995,0.0
2025-05-30,0.17377231400692372,0.25936478406836466,0.5668629019247116,0.0
2025-06-30,0.013601256451532368,0.1574235177164391,0.6474766049471358,0.1814986208848928
2025-07-31,0.3644837792306968,0.1611581213268309,0.4743580994424722,0.0
2025-08-29,0.37068281422413224,0.1402479795576704,0.4890692062181973,0.0
2025-09-30,0.0,0.5242561144286418,0.4610391404195256,0.014704745151832607
2025-10-31,0.0,0.4877093273967325,0.494081461955084,0.01820921064818353
2025-11-28,0.022173534247131102,0.24372503189930933,0.63916154694,0.09493988691355965
2025-12-31,0.17917320877288428,0.07207571393885648,0.5898806148085284,0.1588704624797309
2026-01-30,0.16433858967878592,0.1677209696582102,0.5561698222698918,0.11177061839311209
2026-02-27,0.06508556181842229,0.3151871875749345,0.49535626286367374,0.1243709877429694
2026-03-31,0.19587540338228626,0.2773337359809558,0.41659585825835627,0.1101950023784017
2026-04-30,0.1394346826921902,0.2442514893534796,0.4980533736038543,0.11826045435047595
2026-05-29,0.18032599983861133,0.2366533172353122,0.5465802917489497,0.03644039117712669
2026-06-29,0.18937043812674856,0.21595006861589575,0.5145804584566149,0.08009903480074086
