Date,BL_llm_memory,BL_llm_memory_saferl,Equal_weight
2025-01-02,0.005840004852182085,0.005840004852182085,0.005840004852182085
2025-01-03,-0.006231287276696622,-0.007405860593349923,-0.003266052672491415
2025-01-06,0.001763745545555548,0.0013608994942135187,-0.00013028584298452328
2025-01-07,0.007674816858877116,0.0073776544001008856,0.007736747411747236
2025-01-08,-0.0034281909656272425,-0.0012105683972873146,-0.004041450570262506
2025-01-09,-0.0013093784110742351,-3.4049633755258747e-06,0.0007476201177933905
2025-01-10,0.0032253849138110715,0.0019708292968726813,0.009624975061981955
2025-01-13,-0.0034926027862181804,-0.008372982948084775,0.0009055736086983901
2025-01-14,0.00016618366907677996,0.0018702299354125445,-0.002723470287416818
2025-01-15,0.0073685694312890845,0.00668262636654935,0.012068090441885643
2025-01-16,0.00016127971878055294,0.004404266473581339,-0.0007918721379870375
2025-01-17,-0.0008323566992408807,-2.7509120624310416e-05,-0.002702388729874383
2025-01-21,0.006029930302524659,0.0081996598345998,-0.0006021256144579379
2025-01-22,-0.0005821913876411563,0.0010368400616333783,-0.000611079092747796
2025-01-23,-0.0013805332439054858,-0.0006220543214102792,-0.003451848469865404
2025-01-24,0.0017557725751227735,0.0026065769468178583,0.0023655270384798643
2025-01-27,-2.5304667596959133e-05,-0.0017675730912520703,-0.005200462258054317
2025-01-28,0.0013369261400434963,0.002921299275028486,0.0042128156015322216
2025-01-29,-0.0025116597715240446,-0.0006510482350769892,-0.004452125620446501
2025-01-30,0.0033072178884556796,0.00720300151162346,0.005427357270189476
2025-01-31,-0.002831581381400005,-0.003047831886276843,-0.0029181958039402045
2025-02-03,-0.001039207501212723,0.0008544139190322254,-0.0021757138219226646
2025-02-04,0.003980447796943734,0.005762152599919801,0.004924832942028307
2025-02-05,-0.004272264316867821,-0.0005167861289659781,-0.0021071052943545665
2025-02-06,-0.0020482370425343437,-0.0026899447408417023,-0.0016414142051011105
2025-02-07,0.0009285726222747822,0.0009254705607076922,0.0006756693126351854
2025-02-10,0.007319389606702675,0.00917909630620127,0.006038736095150932
2025-02-11,0.003508252389351254,0.0016532304276474185,0.0024335603356165636
2025-02-12,-0.005790570364504778,-0.0031698064659329414,-0.003570445940209638
2025-02-13,0.0013471685788163411,0.0022919045915287487,0.0018055932657089768
2025-02-14,-0.0019475419827323275,-0.0043488044994477275,-0.0016019710672499632
2025-02-18,0.010419804222093957,0.011857011768425758,0.0098053487976702
2025-02-19,0.0003680249310251656,-0.0006376199311825337,-0.000446266226877573
2025-02-20,0.001595944112767889,0.0026625057583811586,0.0013931466449719487
2025-02-21,-0.006658206469410978,-0.0037968594347686717,-0.004057752944818027
2025-02-24,0.0012629201106923275,0.0017068314708869837,0.0009245914748217676
2025-02-25,-0.012296603368467836,-0.012192279711958388,-0.010895135140811807
2025-02-26,0.0017751343979740628,0.0026148055749910127,0.002555759434249183
2025-02-27,0.005282747539447848,0.00033220974352810625,0.0027391943105997685
2025-02-28,-0.00965997500431514,-0.011043731726743763,-0.009996475475460787
2025-03-03,0.0030707856295636247,0.010264936340483498,0.0002759028313990275
2025-03-04,0.004593843628060685,0.005638529206608221,0.004918704766588317
2025-03-05,-0.002343091416098936,0.0001453227282547545,-0.001440966273296318
2025-03-06,0.0054123929857424185,0.003468504241618207,0.006158919076280522
2025-03-07,0.0007974671844410521,-0.0014890033577010953,0.0012517567468565138
2025-03-10,-0.0037224828585836743,-0.0038417615907431844,-0.0023478346033287134
2025-03-11,0.003289175327677309,0.005089874308828266,0.0011381565741802324
2025-03-12,0.011569854431271811,0.010237504579162308,0.010715536458409614
2025-03-13,0.0011766016431216655,0.007577322483544057,-0.0005929382118033122
2025-03-14,0.0029996686246294806,0.0030040862178049065,0.0024047897773283033
2025-03-17,0.0029988164209255336,0.0024462043367612586,0.0020014475567501355
2025-03-18,0.0033236242670667175,0.007175252015582673,0.0023385555876783426
2025-03-19,0.001722036384798576,0.0010568950625762569,0.0017949130628602261
2025-03-20,0.004073888631591518,0.0026100819234862087,0.003997346755332171
2025-03-21,-0.00449074905392631,-0.005740545638015717,-0.0038045801982900807
2025-03-24,0.0018258866128681456,9.118998633029238e-05,0.0012974941695594322
2025-03-25,0.00010725890641655916,0.0015735833662473,-0.00026763090453971183
2025-03-26,0.0016527868937342462,0.0003664774943762673,0.002120290625271165
2025-03-27,0.004948200194049276,0.008356057784635338,0.0019002811395227859
2025-03-28,0.0032364072981287254,0.0057691634058887374,0.0029621529681548575
2025-03-31,0.013452115656699081,0.01231231383693392,0.010846672413337866
2025-04-01,-0.0018714524687605183,-0.001630152104125812,-0.001743805459832104
2025-04-02,0.006177977446636463,0.005520689971544505,0.0029870208615022653
2025-04-03,-0.02531376608829841,-0.01634033426987634,-0.015016197345926435
2025-04-04,-0.036363635981097944,-0.02784674262669462,-0.021476250565568455
2025-04-07,-0.019209023100637195,-0.018972598341293355,-0.014979487696760219
2025-04-08,-0.0013061481859342012,-0.0012600241468171346,-0.0081423143745106
2025-04-09,0.03219070387414027,0.027071985335257134,0.02163349006554155
2025-04-10,0.012086530845355048,0.01719811793525179,-0.0010418292022182918
2025-04-11,0.02239357138494452,0.019988712743880963,0.021487950230519803
2025-04-14,-0.0029213282644227428,-0.0021658561857512836,0.002458958261067984
2025-04-15,0.0020506560403181825,0.003786877728133384,0.0019012354496515949
2025-04-16,0.026878641988419043,0.025832334105807802,0.01306331843880304
2025-04-17,0.006124539893104929,0.0012467883629646895,0.009860260293179074
2025-04-22,0.0179396198113039,0.02001568801474701,0.010826024123757966
2025-04-23,-0.033664277826239646,-0.030399156942604734,-0.02258111045084321
2025-04-24,0.013356129176741796,0.012407665140227848,0.005648688241193467
2025-04-25,-0.008734942528114032,-0.00858156953834441,-0.000659340757309973
2025-04-28,0.0060978839591096946,0.007615024090445497,-0.0013423485707583782
2025-04-29,-0.009023425362089709,-0.004200753743346184,-0.003392696091543135
2025-04-30,-0.01225550755196456,-0.00812726349788051,-0.011091531955509354
2025-05-01,-0.013923578137156434,-0.019722359184337734,-0.005794783777269441
2025-05-02,0.0005788311107119797,0.0031772983685575858,-0.003634639962501962
2025-05-05,0.010330411421724204,0.01589415919253377,0.0014863643776586999
2025-05-06,0.014426868958152896,0.018079347063569562,0.016305389234434003
2025-05-07,-0.003440987321476649,-0.00434362128690755,-0.004672573720044704
2025-05-08,-0.01025195780904327,-0.016539635802237253,-0.00031027023027555
2025-05-09,0.0023710972879325315,0.00433876803807163,0.004656518010552058
2025-05-12,-0.01337604526360683,-0.020893002304728465,-0.003705404349544028
2025-05-13,-0.0017754934534047254,-0.0008228532120430817,0.0034404690273226735
2025-05-14,-0.003980836645618548,-0.007907676881528592,-0.002157293972851859
2025-05-15,0.0035251320189095695,0.0074003345032730315,-0.0038190718239852484
2025-05-16,-0.0036843523999856537,-0.006945557386596029,0.001584710827879976
2025-05-19,0.006172464541106214,0.00880165658638273,0.0043439461700246484
2025-05-20,0.008694087516431836,0.0113014928339025,0.005511361532049119
2025-05-21,0.005243129547390377,0.007283087940535893,0.0001741436071742153
2025-05-22,-0.0005618113591325943,-0.0016338254023238034,-0.0014332404164486001
2025-05-23,0.007212048277893858,0.011494540277697668,0.005676853080705535
2025-05-27,-0.003847548173465641,-0.007991413727009886,-0.0023114039300953793
2025-05-28,-0.002058412833840755,-0.002778605714260912,0.0013995894735610304
2025-05-29,-0.002611763838556663,0.0007838332581375122,-0.005649510006146163
2025-05-30,0.0029148720716982096,-0.00014804760291551471,0.0017361267175735329
2025-06-02,0.010176768258954791,0.013089642772122257,0.012187145631281787
2025-06-03,0.0032425088651808253,-0.0001754207301816388,0.005911272852133803
2025-06-04,-0.0004556359293637288,0.0024115653769961063,-0.0024416111397529694
2025-06-05,-0.00043893185889285857,-0.00286037782313392,0.0015868646242587492
2025-06-06,-0.00020459858318379147,-0.003728530759661345,0.003886100842251994
2025-06-09,-5.945988547264409e-05,0.00011585942860803085,0.0016903883928611751
2025-06-10,-0.0007383298940897065,-0.0012424553187584191,-0.001242183256210172
2025-06-11,0.0033247178112879227,-0.0007170311271677335,0.011537141967557424
2025-06-12,0.009489659716857883,0.012400812558755225,0.006749247473054137
2025-06-13,0.014798041457134158,0.01095863468283754,0.02495611269586251
2025-06-16,-0.007480605571709773,-0.007747229404945654,-0.008916256521196597
2025-06-17,0.0023620428096013672,-0.0015519285685910286,0.010015076332173828
2025-06-18,-0.003594041191844384,-0.0030895447486936345,-0.002746625928591123
2025-06-20,-0.000927710552769056,-0.002270840774041511,-0.0007735929250405615
2025-06-23,-0.006842799246317956,0.0006517291116115405,-0.021721975615950434
2025-06-24,-0.00679067934186692,-0.006524929556792271,-0.015400935004793115
2025-06-25,0.003356817125408535,0.0031865271337317633,0.0044347532749990926
2025-06-26,0.004376967361053096,0.003627020184890803,0.004666201905623502
2025-06-27,-0.005462132183138657,-0.009420107842675725,-0.0026301432700945593
2025-06-30,0.0026721802784481397,0.00401201288032504,0.0006772753378634644
2025-07-01,0.006608482417854321,0.009455974687855605,0.005987561330621616
2025-07-02,0.010249911373593644,0.00795055650143887,0.009178102687344314
2025-07-03,-0.005199943426260259,-0.0055016799052753215,-0.00477227358633972
2025-07-04,-0.0020930663810130516,-0.0010018619022536454,-0.0020724553933074152
2025-07-07,0.005877010825007808,0.003661929776846669,0.005243602694514349
2025-07-08,-0.0018546267155522555,-0.004200617781875134,-0.0018683273938435163
2025-07-09,-0.00017256491698591054,0.0005768788053768271,-0.0004273808387303124
2025-07-10,-0.00668297948122041,-0.0035727161001168897,-0.005896065742338752
2025-07-11,0.011094750534370184,0.01247048470200827,0.009115661843769551
2025-07-14,-0.008265640997583739,-0.00578408037287377,-0.0077238363148949
2025-07-15,-0.0053890300116261475,-0.006224473797824429,-0.004892544324915565
2025-07-16,0.0001824979561586991,0.003556398737624491,-0.0007303906717054109
2025-07-17,0.004445986176066757,0.0010189373909795002,0.00438658404564099
2025-07-18,0.0005060374133391347,0.0021913230544274034,0.00018959777153185198
2025-07-21,0.004025638399158706,0.008888984814206392,0.003146204555125043
2025-07-22,0.0015399595566574047,0.00536215188981291,0.0017984797479337622
2025-07-23,-0.007141253744340415,-0.010695745797114548,-0.005354436949082553
2025-07-24,0.002674709976117971,-0.0015208602909916238,0.0031074700511589393
2025-07-25,-0.008706096772754201,-0.010325078772504834,-0.007703034995063307
2025-07-28,0.0031116136556880876,-0.0013236205208261354,0.002814202359601642
2025-07-29,0.008375961636206282,0.008470248321167304,0.005545927902418951
2025-07-30,-0.0001991588699422433,-0.003436896722058271,-0.0003336800692057551
2025-07-31,-0.006616853159385539,-0.003703852371966258,-0.007268080084237821
2025-08-01,0.00036238706287740254,0.00709003100603567,-0.0038535821073820142
2025-08-04,0.008102434388396206,0.009958687687258654,0.003213203292746186
2025-08-05,-0.001159038374214487,0.0010662077436951777,-0.0036180210941446633
2025-08-06,-0.0015614560336024354,-0.0003990554028172194,-0.0033187255226274637
2025-08-07,0.0049164350234389385,0.006201358023975817,0.0025878577694067317
2025-08-08,0.004724773945015107,0.006963563772510987,0.004893744434928682
2025-08-11,-0.007297981896672891,-0.012842325951046498,-0.006684042527278777
2025-08-12,-0.0028463476076217758,-0.0016278405065685737,-0.004205582297208632
2025-08-13,0.0031954346527278063,0.0040537919125075705,0.0012177138992855718
2025-08-14,0.002947218924421355,-0.0012327430193395774,0.005746622133246032
2025-08-15,-0.004951649764602151,-0.0024490991215842385,-0.006792446062481361
2025-08-18,0.0032089293872767854,0.0014225215532377754,0.003805685333478387
2025-08-19,-0.005248805405322861,-0.004368914168314693,-0.007296074094693211
2025-08-20,0.0023206193471628457,0.0032330426685800444,0.004762291865022722
2025-08-21,7.883196428595346e-05,-0.0008773720896950577,0.0005597028245259428
2025-08-22,0.0008148047295513164,0.0035579744360782033,0.001657907620701865
2025-08-25,0.006888404465620129,0.004047719706247361,0.008220114067862827
2025-08-26,-0.005708386195036209,-0.0014436974248845213,-0.007895557046643825
2025-08-27,0.003796103558675503,0.0031993122225006335,0.005657174750499261
2025-08-28,0.003388025628672235,0.004357515322245445,0.004400313085128227
2025-08-29,0.003526345102861134,0.006930328113833613,0.001625508293401301
2025-09-02,0.010464347860614457,0.012129936510077833,0.013034916611294911
2025-09-03,-0.005173596117041795,0.0018051763211849182,-0.007829029874155291
2025-09-04,-0.0012442004336080544,-0.0023424736870068727,-0.0022112142317830263
2025-09-05,-2.9003133344939792e-05,0.006418971199486155,-0.0030393438637736636
2025-09-08,0.005336502531401332,0.005664515118399544,0.005405855966047035
2025-09-09,0.004032313973993215,0.0030955697543935626,0.004152314665875401
2025-09-10,-0.0007861833021403425,-0.0023815386083528905,0.0021719191151869377
2025-09-11,-0.0029088363904592445,-0.0007362162002611127,-0.00529743559188503
2025-09-12,0.0032534877543067835,0.0031068253890254166,0.003584656439585887
2025-09-15,0.0029216841093044413,0.003895328341113821,0.004076707511916217
2025-09-16,0.004988558206326133,0.0025766339574946665,0.006975257957369696
2025-09-17,0.0033541809395579237,0.0029800132021317476,0.0009280347851516602
2025-09-18,-0.005592802819242794,-0.0067167173095379045,-0.005852650628221295
2025-09-19,-0.002130024021607043,0.0018670574494488966,-0.0036906549656850196
2025-09-22,0.00147557667204449,0.006572573885611914,0.0017220291116701314
2025-09-23,0.007372516198062807,0.007765179375761268,0.00803825495968008
2025-09-24,0.0006171174063219539,-0.005755037808409153,0.0034814967655236173
2025-09-25,-0.0032566544019251888,-0.002308333876781056,-0.0025262554622281497
2025-09-26,-0.0005241121634481326,0.0012324654352099756,0.001519242620196759
2025-09-29,0.00123707788658892,0.00810651371589178,-0.003296614095106426
2025-09-30,0.00037019613037776646,0.003585504124817986,-0.0019167775639007123
2025-10-01,0.0006062694767458383,0.0033055048178377987,-0.0004188456323696854
2025-10-02,-0.004083005912169952,-0.0021887944236106114,-0.006411643209498996
2025-10-03,0.0027386256427890747,0.003728014016561793,0.0035170034191608357
2025-10-06,0.006401850186891178,0.007738351941676802,0.007179560333127333
2025-10-07,0.0038949594836142545,0.005284224033149003,0.002845120044437599
2025-10-08,0.004092622665397326,0.005444655270301229,0.005140998886494275
2025-10-09,-0.01014024592374586,-0.012070784129385309,-0.011005073991989467
2025-10-10,-0.008820697486750781,-0.000939435143151663,-0.01194055631996735
2025-10-13,0.012147234562416677,0.01676553374135897,0.01221244413424738
2025-10-14,-0.0005266291245298606,0.003042565792695847,-0.0023213205316395813
2025-10-15,0.0011535134217225426,0.003714636928774409,0.0010353935816729276
2025-10-16,0.007812797763722831,0.014458371937202839,0.005211699735791109
2025-10-17,-0.0037055192741592973,-0.008099011449152364,-0.003016184304715952
2025-10-20,0.008525033054761898,0.015347924648463428,0.007387957641362658
